RegNo,Name,Age,Gender,Branch,Year,Section,CollegeName,MentorName,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,IAT1,IAT2,IAT3,Attendance,StudyHoursPerDay,Backlogs,FatherIncome,MotherIncome,HasSiblings,SiblingCount,StressScore,SleepHours,MentalHealthIndex,ExerciseHours,ScreenTime,RiskLevel
CMR2023280,Amanda Jones,22,Male,CIVIL,1,B,CMRIT,Prof. Meena,9.81,8.78,9.87,8.91,8.05,9.29,5.51,7.81,9.29,28,21,22,71,1,2,35948,58840,False,0,40,9,0.5,7,9,Medium
CMR2023281,Tammie Bright,23,Female,ECE,2,A,CMRIT,Prof. Kavya,7.2,7.08,8.85,6.23,9.05,6.71,7.53,5.43,7.34,25,26,25,97,7,8,69343,44743,False,0,49,5,0.86,6,7,High
CMR2023282,Jessica Garcia,23,Female,CSE,4,A,CMRIT,Dr. Ramesh,8.59,7.59,5.35,6.69,7.01,8.86,7.17,6.97,7.28,20,30,30,95,4,5,44571,20154,False,0,73,7,0.92,11,9,Medium
CMR2023283,Shelia Wallace,20,Male,ECE,2,C,CMRIT,Prof. Meena,7.23,6.03,7.72,8.94,8.26,8.49,9.44,8.91,7.48,26,23,24,73,8,4,27093,14691,False,0,69,9,0.8,14,3,Medium
CMR2023284,Stephanie Williams,19,Male,MECH,3,C,CMRIT,Dr. Arvind,8.79,5.8,5.14,8.98,7.96,6.21,8.87,8.63,7.15,28,21,20,59,0,7,102774,73093,False,0,35,4,0.83,1,8,High
CMR2023285,Elaine Brooks,20,Male,CIVIL,2,B,CMRIT,Dr. Arvind,6.42,8.92,8.57,8.36,8.57,7.6,6.24,6.64,8.07,29,23,25,70,3,7,124094,30686,True,3,72,4,0.36,6,3,High
CMR2023286,Joseph Knight,18,Female,CIVIL,4,C,CMRIT,Prof. Meena,9.36,7.92,8.18,9.98,8.45,9.74,8.66,7.08,8.67,22,22,28,84,3,7,38324,132078,False,0,36,9,0.66,8,2,High
CMR2023287,Carolyn Miller,21,Male,CIVIL,2,C,CMRIT,Dr. Arvind,9.61,5.59,9.26,5.55,6.85,6.45,7.61,5.59,7.5,24,25,24,96,4,3,82065,132382,True,1,38,8,0.6,14,5,Low
CMR2023288,Lisa Allen,19,Female,CSE,1,C,CMRIT,Dr. Arvind,5.34,5.22,7.41,6.55,7.26,6.69,6.89,9.17,5.28,29,22,22,91,6,6,137320,125831,False,0,77,5,0.91,5,2,High
CMR2023289,Briana Murray,19,Female,ECE,1,C,CMRIT,Prof. Meena,8.68,8.23,9.33,8.54,7.86,8.98,8.54,7.81,8.46,21,30,28,51,0,4,27322,55443,True,1,80,8,0.93,1,9,High
CMR2023290,David Smith,19,Male,CIVIL,4,A,CMRIT,Dr. Arvind,7.01,5.22,9.31,5.12,7.19,7.07,9.3,6.59,7.1,24,21,21,59,6,2,31039,147024,True,2,38,5,0.48,1,3,High
CMR2023291,Stephanie Byrd,18,Female,AIML,1,C,CMRIT,Dr. Ramesh,6.49,5.49,5.71,9.47,6.29,9.71,9.5,5.26,5.99,23,29,29,66,1,7,66994,134231,False,0,34,6,0.34,7,9,High
CMR2023292,Jeremy Reed,18,Female,CIVIL,2,A,CMRIT,Dr. Arvind,7.77,7.93,5.51,8.81,8.26,5.63,7.84,7.23,7.5,30,28,23,42,0,7,42320,102859,True,1,88,7,0.97,8,8,High
CMR2023293,Margaret Coleman,22,Female,CIVIL,2,A,CMRIT,Dr. Ramesh,9.67,7.41,7.99,9.2,6.9,6.76,8.16,7.93,8.57,28,24,20,86,8,4,47314,145008,True,2,31,7,0.79,13,3,Low
CMR2023294,Ryan Gonzalez,21,Male,MECH,3,C,CMRIT,Dr. Arvind,8.18,9.9,8.54,6.37,8.31,6.61,6.05,9.79,7.98,25,20,22,88,6,8,5536,129919,True,0,42,7,0.69,11,8,High
CMR2023295,John Young,18,Male,MECH,1,C,CMRIT,Prof. Meena,8.36,6.76,9.06,9.14,6.79,5.89,8.84,8.49,7.56,20,21,27,83,5,3,102119,55591,False,0,21,5,0.82,12,5,Low
CMR2023296,Laura Haney,18,Female,CIVIL,2,A,CMRIT,Prof. Meena,9.84,5.18,7.46,8.52,8.03,5.04,9.92,8.19,7.75,21,24,29,44,2,1,136157,134502,True,1,92,9,0.78,9,3,High
CMR2023297,William Barrett,19,Female,MECH,2,C,CMRIT,Dr. Arvind,5.96,8.39,9.96,8.46,7.66,6.26,7.8,7.27,8.19,26,30,30,71,5,8,18595,89672,False,0,72,6,0.39,8,8,High
CMR2023298,Keith Jennings,18,Male,CSE,3,B,CMRIT,Prof. Meena,6.58,6.96,6.67,9.4,9.04,9.95,6.13,8.45,8.1,21,23,23,67,0,5,48117,91304,False,0,28,9,0.74,0,8,Medium
CMR2023299,Amber Obrien,20,Male,CSE,4,A,CMRIT,Dr. Arvind,9.16,9.11,7.6,6.18,5.36,8.0,7.19,5.48,7.26,27,29,21,98,7,0,27422,20908,True,3,60,9,0.35,2,1,Medium
CMR2023300,Tanner Mitchell DDS,20,Female,CSE,1,C,CMRIT,Dr. Ramesh,7.8,6.47,6.91,5.48,8.76,6.17,8.0,8.3,7.13,20,27,26,46,1,0,126689,117225,True,2,23,7,0.66,9,4,High
CMR2023301,Heather Fields,22,Male,MECH,2,C,CMRIT,Prof. Kavya,8.19,6.28,7.11,8.62,7.22,6.22,8.99,5.3,7.55,24,29,26,59,5,4,139512,98780,False,0,94,8,0.84,2,8,High
CMR2023302,Megan Le,20,Male,MECH,2,A,CMRIT,Prof. Kavya,7.54,9.18,9.29,7.11,5.98,6.0,9.54,8.93,8.28,25,23,30,66,5,2,129708,127526,False,0,94,8,0.97,9,5,High
CMR2023303,Sara Fuller,18,Female,CSE,4,A,CMRIT,Dr. Ramesh,8.19,8.47,7.33,6.07,7.4,8.84,9.07,9.04,8.05,26,23,26,49,4,7,53298,6763,False,0,21,4,0.55,8,2,High
CMR2023304,Maria Parker,19,Female,CSE,1,A,CMRIT,Prof. Kavya,6.42,6.09,6.31,5.87,9.24,6.23,5.98,5.88,6.25,24,21,20,82,2,8,40977,104332,True,2,46,6,0.62,5,6,High
CMR2023305,Kevin Oconnor,22,Female,CIVIL,1,A,CMRIT,Prof. Kavya,9.41,5.65,5.95,7.66,8.47,6.59,7.15,8.18,7.53,20,29,29,95,2,8,54571,145369,False,0,39,6,0.47,10,5,High
CMR2023306,Edward Burgess,22,Female,AIML,1,B,CMRIT,Dr. Ramesh,5.84,6.94,9.41,8.76,6.87,7.59,5.89,8.56,6.39,28,27,27,68,3,6,129192,75342,False,0,94,9,0.33,3,4,High
CMR2023307,Carlos Ryan,19,Female,EEE,4,C,CMRIT,Prof. Kavya,9.68,6.87,7.75,5.67,5.42,7.22,6.76,7.92,7.16,27,28,29,60,4,6,93178,116700,False,0,79,7,0.59,12,8,High
CMR2023308,Kiara Mcintyre,18,Male,EEE,2,B,CMRIT,Dr. Ramesh,6.8,5.41,9.21,7.56,8.22,8.93,9.63,5.49,7.25,21,25,20,52,2,8,148137,57509,False,0,45,9,0.53,4,5,High
CMR2023309,Dawn Summers,20,Male,ECE,3,B,CMRIT,Prof. Meena,9.73,9.11,8.79,5.06,8.27,9.95,9.76,9.33,8.48,23,23,23,67,6,3,129371,66269,False,0,79,6,0.85,5,4,High
CMR2023310,Dr. Paul Morgan,21,Female,MECH,1,B,CMRIT,Prof. Kavya,7.89,5.64,9.72,5.05,9.05,9.17,6.7,7.1,6.76,30,26,28,80,6,6,83548,90479,True,0,37,5,0.98,5,10,High
CMR2023311,Victor Taylor,19,Female,CSE,4,A,CMRIT,Prof. Meena,5.54,7.85,7.26,9.47,5.47,5.52,7.76,5.16,6.75,29,27,20,44,7,0,53940,57166,True,3,56,5,0.46,10,9,High
CMR2023312,Shannon Ramsey,20,Male,AIML,3,B,CMRIT,Prof. Meena,5.79,5.55,7.68,7.39,5.34,9.78,9.33,5.65,6.92,23,24,26,57,3,0,129460,46623,False,0,95,5,0.65,10,8,High
CMR2023313,Tracy Ballard,19,Female,CSE,4,C,CMRIT,Prof. Kavya,7.63,9.55,9.4,7.3,7.88,8.69,6.44,9.4,8.29,27,25,24,69,6,2,107521,50908,False,0,51,5,0.93,11,7,Medium
CMR2023314,Richard Smith,23,Male,EEE,1,A,CMRIT,Prof. Kavya,6.37,8.14,6.46,9.58,8.49,8.61,6.09,7.47,7.26,28,21,25,42,7,0,25062,32583,False,0,72,7,0.42,3,9,High
CMR2023315,Jordan Chambers,18,Female,EEE,3,C,CMRIT,Prof. Meena,9.28,6.98,5.05,5.57,9.59,6.64,8.74,7.42,7.18,21,21,28,46,2,4,68515,119746,True,3,55,5,0.42,0,10,High
CMR2023316,Lauren Carson,18,Female,AIML,1,C,CMRIT,Dr. Ramesh,8.39,5.77,6.79,6.08,5.17,8.38,6.08,8.48,7.08,30,28,30,89,3,3,31946,107398,False,0,76,4,0.72,0,7,High
CMR2023317,Ashley Hall,20,Male,AIML,1,A,CMRIT,Prof. Meena,5.14,5.07,9.1,8.4,5.32,9.79,5.48,9.18,5.11,30,22,22,99,8,6,16537,113968,True,2,61,8,0.74,9,4,High
CMR2023318,Stephen Hoffman,21,Male,AIML,2,A,CMRIT,Dr. Arvind,6.62,5.07,8.27,5.06,6.06,6.1,8.29,6.39,6.25,29,25,20,90,2,4,22650,62294,False,0,58,8,0.65,1,9,Medium
CMR2023319,Connie Brown,18,Female,CIVIL,4,C,CMRIT,Prof. Kavya,6.66,8.18,9.42,6.59,9.26,7.41,6.68,8.04,7.78,29,27,26,55,6,3,138962,65928,True,1,22,8,0.83,1,5,High
CMR2023320,Susan Turner,22,Male,CSE,2,B,CMRIT,Prof. Meena,6.48,5.76,6.02,5.19,9.62,7.99,9.73,8.7,5.86,25,22,24,61,3,3,88240,15382,False,0,56,4,0.46,11,6,High
CMR2023321,Charles Shah,22,Male,CIVIL,2,C,CMRIT,Prof. Kavya,8.04,6.91,6.61,7.21,5.03,9.35,5.35,5.96,7.19,30,22,23,59,2,3,37915,29054,True,1,50,8,0.35,11,8,High
CMR2023322,Johnathan Davis,19,Female,AIML,2,B,CMRIT,Dr. Arvind,7.88,9.84,6.01,9.31,7.41,9.76,6.8,6.89,8.26,27,27,26,78,8,2,137459,118621,True,3,22,7,0.6,1,5,Low
CMR2023323,Brandy Chavez,22,Male,ECE,4,B,CMRIT,Dr. Arvind,7.27,6.88,8.03,5.36,5.68,7.35,5.77,5.95,6.54,20,28,25,81,1,6,133831,111051,False,0,70,9,0.56,7,5,High
CMR2023324,Natalie Bautista,18,Male,EEE,2,A,CMRIT,Prof. Meena,9.79,8.86,8.76,6.74,8.55,8.17,6.84,5.29,8.54,26,26,23,56,7,2,68531,130232,True,2,100,9,0.77,11,3,High
CMR2023325,Patrick Moore,20,Male,MECH,2,A,CMRIT,Dr. Ramesh,8.85,8.22,9.58,6.99,7.93,9.5,7.59,5.94,8.41,26,22,26,46,5,2,71288,84225,False,0,95,6,0.81,12,2,High
CMR2023326,Brett Burns,20,Male,CIVIL,4,C,CMRIT,Dr. Arvind,5.03,5.84,7.46,5.48,8.87,7.09,7.08,6.44,6.66,26,22,22,76,3,2,103212,53863,True,1,82,5,0.65,1,8,High
CMR2023327,Trevor Johnson,19,Male,CIVIL,2,A,CMRIT,Dr. Arvind,9.91,9.36,7.2,9.56,5.55,8.18,5.4,5.43,9.01,21,24,21,57,0,0,94693,12776,True,3,82,9,0.83,0,1,High
CMR2023328,Jeremy Sampson,18,Male,MECH,1,B,CMRIT,Dr. Arvind,9.66,7.37,6.69,7.15,6.85,9.45,10.0,9.08,8.52,25,30,26,86,2,0,104204,20005,False,0,62,4,0.3,13,7,High
CMR2023329,Ariana Jennings,22,Male,MECH,3,C,CMRIT,Prof. Kavya,6.84,8.09,8.29,7.38,7.07,5.94,9.93,9.79,7.27,25,20,30,90,1,5,99425,16994,False,0,76,5,0.72,6,10,High
CMR2023330,Vanessa Howard,21,Female,CIVIL,1,C,CMRIT,Prof. Meena,6.47,5.98,5.72,7.6,7.86,9.28,7.52,5.64,6.22,21,24,30,53,2,1,148850,127369,True,3,34,7,0.76,3,4,High
CMR2023331,Colton Martinez,18,Female,CIVIL,1,A,CMRIT,Dr. Arvind,9.51,8.83,6.1,6.29,7.38,9.49,5.62,5.68,9.17,28,30,27,81,8,6,28708,92241,True,0,63,7,0.94,11,7,High
CMR2023332,Jordan Bates,19,Male,ECE,1,B,CMRIT,Dr. Ramesh,5.56,6.7,7.96,5.94,9.71,7.86,5.64,6.57,6.13,26,29,20,73,3,1,86474,21222,True,3,74,6,0.84,12,3,Medium
CMR2023333,Linda Smith,21,Male,MECH,4,B,CMRIT,Prof. Kavya,9.08,6.48,6.09,8.4,5.74,6.42,8.74,9.25,7.53,20,29,25,58,6,0,85974,136695,True,2,93,7,0.74,3,8,High
CMR2023334,Dana Martinez,20,Male,CIVIL,2,C,CMRIT,Prof. Kavya,8.5,5.26,9.33,5.9,7.44,6.96,9.92,8.3,7.25,22,20,28,73,4,4,107835,93450,False,0,80,6,0.83,6,2,High
CMR2023335,Andrea Hubbard,23,Male,CIVIL,4,A,CMRIT,Prof. Kavya,6.62,8.96,9.33,5.27,9.67,6.52,8.27,7.89,7.82,27,27,24,83,2,6,42964,59988,True,1,21,6,0.81,9,2,High
CMR2023336,Daniel Kane,21,Male,CSE,1,B,CMRIT,Prof. Meena,5.9,5.26,9.9,8.25,7.97,9.85,8.13,7.02,5.58,20,21,23,89,7,6,108978,133090,False,0,96,5,0.76,6,2,High
CMR2023337,Charles Lester,20,Female,ECE,1,A,CMRIT,Dr. Ramesh,5.41,7.45,8.34,7.55,5.12,7.86,7.86,6.37,6.43,21,29,22,85,8,2,105652,131927,False,0,58,8,0.39,5,2,Medium
CMR2023338,Scott Thomas,21,Male,EEE,4,A,CMRIT,Dr. Ramesh,8.77,6.04,8.29,5.59,9.31,8.48,5.03,7.24,7.34,25,21,20,47,8,4,38768,59061,True,0,91,6,0.9,0,2,High
CMR2023339,David Thompson,20,Male,EEE,1,A,CMRIT,Dr. Arvind,5.23,9.73,9.52,6.47,7.67,5.7,7.45,6.56,7.48,25,29,28,48,8,3,138848,60008,True,0,50,4,0.43,4,4,High
CMR2023340,Allison Smith,22,Female,ECE,2,C,CMRIT,Prof. Meena,5.37,6.27,6.91,9.52,7.0,5.42,6.27,7.13,7.02,22,28,23,50,6,2,23496,75621,True,2,92,9,0.75,8,10,High
CMR2023341,Cynthia Morris,20,Female,EEE,1,C,CMRIT,Prof. Kavya,5.39,5.62,5.55,7.74,5.33,8.2,6.81,6.67,5.5,24,22,23,51,8,4,76734,7585,True,3,48,7,0.97,12,2,High
CMR2023342,Anthony Harmon,22,Female,CSE,3,C,CMRIT,Dr. Arvind,7.76,8.04,9.48,5.85,9.73,6.95,6.73,8.71,7.97,28,28,29,49,6,4,110552,130006,True,2,21,9,0.66,2,3,High
CMR2023343,Nichole Alvarez,18,Female,CIVIL,2,C,CMRIT,Prof. Meena,8.53,5.92,9.93,8.99,7.51,6.38,7.14,9.71,8.34,23,24,30,100,1,2,27791,85127,False,0,60,4,0.74,1,4,High
CMR2023344,Kayla Rodriguez,22,Male,CSE,3,C,CMRIT,Prof. Meena,9.04,5.05,9.74,8.39,9.66,5.68,7.49,8.43,7.93,30,28,21,87,8,0,111291,8643,True,0,74,9,0.67,5,4,Medium
CMR2023345,Theresa Williams,22,Female,AIML,2,A,CMRIT,Dr. Ramesh,6.84,5.67,6.77,5.25,7.48,5.85,9.85,6.69,6.13,30,23,28,65,3,4,35897,81038,False,0,81,6,0.49,0,10,High
CMR2023346,Sharon Boyd,23,Male,EEE,4,A,CMRIT,Dr. Arvind,5.03,7.3,6.49,5.54,6.75,8.61,7.01,5.04,6.47,26,27,23,54,7,6,27215,143699,True,3,35,7,0.3,12,5,High
CMR2023347,Victor Brown,20,Female,ECE,4,A,CMRIT,Dr. Arvind,5.54,7.19,9.2,5.81,6.77,7.17,6.8,9.35,7.23,23,21,23,82,3,7,79684,15552,True,3,73,9,0.53,0,3,High
CMR2023348,James Parks,23,Female,CSE,4,B,CMRIT,Prof. Meena,9.0,8.57,6.62,8.82,9.41,7.51,9.62,9.22,8.6,26,22,21,43,5,6,33279,10544,True,1,64,8,0.31,10,4,High
CMR2023349,Theodore Jones Jr.,22,Male,EEE,4,B,CMRIT,Dr. Arvind,7.43,8.8,6.24,5.76,7.56,6.25,8.83,9.32,7.52,23,30,26,47,2,6,57012,129228,True,1,44,8,0.74,2,4,High
CMR2023350,Ana Hill,18,Female,AIML,2,B,CMRIT,Dr. Ramesh,8.08,5.45,5.25,7.04,6.53,8.17,6.16,6.68,6.46,27,20,28,55,5,0,116954,18541,False,0,34,6,0.55,5,7,High
CMR2023351,Kimberly Nguyen,19,Male,CSE,1,C,CMRIT,Dr. Arvind,6.06,7.36,9.54,5.5,5.92,9.74,6.82,6.52,6.71,21,30,20,73,5,3,149642,39159,False,0,66,9,0.87,11,10,Medium
CMR2023352,Kerry Chavez DDS,23,Female,AIML,4,A,CMRIT,Dr. Ramesh,5.65,8.71,5.6,7.93,9.56,8.27,5.95,8.52,7.52,21,21,28,52,6,8,94888,84030,False,0,45,8,0.8,0,3,High
CMR2023353,Michael Farrell,23,Female,MECH,3,B,CMRIT,Prof. Meena,8.15,5.59,7.18,7.41,7.62,9.76,8.95,5.83,7.62,24,22,24,50,7,8,16913,20936,True,3,83,9,0.67,8,2,High
CMR2023354,Patricia Le,21,Female,EEE,3,A,CMRIT,Prof. Kavya,5.02,7.86,7.96,5.04,9.64,7.56,7.52,8.6,7.18,24,24,23,80,2,4,82689,75389,True,1,48,4,0.67,4,1,High
CMR2023355,Jesse Perez,19,Female,CSE,2,A,CMRIT,Dr. Ramesh,5.01,6.74,8.03,6.85,5.42,8.53,7.75,8.61,6.66,26,29,24,41,8,1,90101,20011,True,2,48,9,0.98,2,5,High
CMR2023356,Jesse Perry,23,Female,CIVIL,3,C,CMRIT,Prof. Kavya,9.08,6.1,6.34,7.91,9.04,8.76,5.78,6.16,7.87,26,25,22,52,7,2,130568,29560,False,0,43,7,0.43,13,3,High
CMR2023357,Jeffery Ortega,23,Female,CSE,3,A,CMRIT,Prof. Kavya,9.09,8.44,5.94,5.72,7.13,7.28,8.23,7.01,7.27,28,22,20,48,3,1,31143,104057,False,0,22,4,0.88,12,1,High
CMR2023358,Christian Leblanc,20,Male,CIVIL,1,A,CMRIT,Dr. Ramesh,7.71,9.09,9.26,5.42,5.7,8.8,9.46,9.08,8.4,24,25,27,46,8,4,45504,68913,True,2,100,8,0.39,13,1,High
CMR2023359,Ronald Davis,18,Female,AIML,1,A,CMRIT,Dr. Ramesh,6.13,6.93,6.77,6.43,9.61,8.42,8.43,8.57,6.53,21,27,22,99,1,0,33871,63857,True,2,65,4,0.73,1,6,High
CMR2023360,Parker Cain,22,Male,AIML,4,C,CMRIT,Dr. Arvind,8.0,8.4,5.75,8.34,6.51,9.09,6.74,5.52,7.29,27,30,25,92,1,1,74573,25019,True,1,38,6,0.4,7,8,Medium
CMR2023361,Laurie Hoffman,22,Female,CIVIL,3,A,CMRIT,Dr. Ramesh,6.62,5.64,8.84,6.76,7.47,7.41,9.86,8.01,7.12,30,25,22,74,3,6,69463,105449,False,0,90,7,0.68,7,9,High
CMR2023362,Bryan Gomez,18,Female,MECH,2,C,CMRIT,Dr. Ramesh,6.18,5.01,9.97,5.09,7.79,9.79,9.6,5.3,6.56,25,25,22,47,2,6,82253,125688,True,3,51,5,0.88,0,3,High
CMR2023363,Nicole Parrish,23,Male,CIVIL,4,B,CMRIT,Dr. Ramesh,8.51,8.31,5.37,9.19,9.35,5.15,6.83,5.39,7.26,21,20,29,66,5,7,114181,44247,True,3,37,9,0.67,4,8,High
CMR2023364,Tracy Burke,23,Male,ECE,1,A,CMRIT,Dr. Ramesh,9.41,5.16,8.76,7.52,5.05,9.16,8.4,9.38,7.29,28,24,29,100,2,3,136562,85224,True,3,40,6,0.98,8,7,Medium
CMR2023365,Kenneth Lewis,21,Male,AIML,4,A,CMRIT,Dr. Ramesh,9.08,7.34,6.57,8.21,9.14,5.82,9.02,8.23,7.93,23,24,21,74,1,1,32367,25397,False,0,97,6,0.32,4,3,High
CMR2023366,Courtney Rodriguez,19,Male,ECE,2,C,CMRIT,Prof. Kavya,8.19,5.16,6.35,9.88,7.82,7.82,8.95,5.23,7.39,25,21,24,86,5,2,7222,98493,False,0,70,8,0.44,12,7,Medium
CMR2023367,Holly Farmer,23,Male,ECE,4,C,CMRIT,Dr. Ramesh,7.51,8.88,5.12,8.98,7.38,9.34,5.19,5.81,7.28,30,27,21,81,8,5,29455,65704,True,1,40,8,0.66,11,10,Medium
CMR2023368,Renee Bruce,21,Male,ECE,3,B,CMRIT,Prof. Meena,5.2,8.56,8.41,6.2,9.99,8.03,9.79,7.83,7.73,27,21,20,50,1,4,42387,86144,True,3,32,7,0.52,14,5,High
CMR2023369,Sabrina Austin,22,Female,ECE,1,A,CMRIT,Prof. Kavya,8.55,7.3,9.93,9.89,8.82,7.21,9.62,9.7,7.93,29,27,20,63,8,5,100282,80137,False,0,72,8,0.94,2,8,Medium
CMR2023370,Allison Hickman,20,Male,CIVIL,4,C,CMRIT,Prof. Meena,6.31,9.38,8.41,8.1,8.22,8.71,6.22,9.11,8.06,20,22,21,62,7,7,81194,103519,True,3,29,5,0.57,7,2,High
CMR2023371,Debra White,23,Female,CSE,1,A,CMRIT,Dr. Ramesh,9.59,9.61,8.84,6.0,6.64,6.59,9.98,7.43,9.6,27,21,24,78,6,0,124165,15035,True,3,38,9,0.45,9,1,Low
CMR2023372,Ellen Morgan,20,Female,EEE,2,A,CMRIT,Prof. Kavya,9.34,9.76,8.42,6.35,8.18,5.42,5.35,7.03,8.47,24,27,26,61,4,2,142567,61126,False,0,43,4,0.36,14,7,High
CMR2023373,Sergio Knight,19,Female,EEE,4,B,CMRIT,Prof. Kavya,9.83,7.18,9.56,7.85,9.12,7.8,9.47,5.99,8.35,30,29,29,71,5,1,42910,89864,False,0,21,5,0.93,14,3,Medium
CMR2023374,Charles Schultz,23,Female,ECE,1,B,CMRIT,Prof. Kavya,8.17,8.19,7.89,5.18,8.73,5.94,8.48,8.87,8.18,29,26,23,72,1,7,96248,59988,True,0,67,6,0.31,14,5,High
CMR2023375,Paul Lewis,23,Female,EEE,4,B,CMRIT,Dr. Arvind,9.14,7.13,9.87,6.68,9.63,7.29,6.87,7.76,8.05,22,28,26,45,1,1,105024,79718,False,0,56,9,0.73,14,2,High
CMR2023376,Glen Wood,23,Male,MECH,4,A,CMRIT,Prof. Meena,8.75,8.12,7.72,8.17,7.52,9.03,8.34,9.26,8.36,23,23,27,66,6,0,149595,104897,True,1,80,4,0.55,12,8,High
CMR2023377,Paula Bradley,20,Male,MECH,3,B,CMRIT,Dr. Arvind,6.54,9.51,9.55,8.37,5.02,9.55,5.16,5.13,8.09,25,28,29,81,6,0,88223,92841,True,3,50,8,0.98,3,10,Low
CMR2023378,Anthony Moore,22,Female,AIML,4,C,CMRIT,Prof. Kavya,7.02,6.59,5.79,6.15,8.55,5.63,5.59,7.88,6.65,26,30,24,80,2,0,149940,46694,False,0,46,4,0.37,6,1,High
CMR2023379,Megan Nelson,22,Male,MECH,4,A,CMRIT,Prof. Kavya,9.92,8.17,8.89,5.93,8.26,6.11,5.97,9.2,7.81,26,24,30,47,7,1,18565,77080,True,1,100,4,0.75,9,2,High
CMR2023380,Karla Ramos,18,Male,ECE,3,A,CMRIT,Dr. Ramesh,5.39,9.22,9.56,6.04,5.5,8.98,7.07,7.43,7.45,30,21,23,82,0,1,115076,103370,False,0,77,5,0.43,0,3,High
CMR2023381,Paul Wilson,20,Female,EEE,1,A,CMRIT,Dr. Arvind,9.63,5.96,5.15,5.12,7.56,5.76,9.33,5.57,7.79,23,20,25,85,8,4,41323,62609,True,1,54,6,0.64,1,6,Medium
CMR2023382,Douglas Gregory,21,Female,EEE,4,A,CMRIT,Dr. Arvind,5.86,8.44,9.44,6.41,6.96,7.92,8.83,6.56,7.55,23,27,26,52,5,5,121957,116080,False,0,60,8,0.38,6,7,High
CMR2023383,Mr. Andrew Foster,23,Male,EEE,2,A,CMRIT,Dr. Arvind,7.93,6.47,9.13,8.23,9.83,6.76,5.15,5.9,7.94,25,26,22,40,5,0,98780,69308,True,1,67,6,0.4,5,2,High
CMR2023384,Aimee Turner,23,Female,AIML,4,C,CMRIT,Dr. Arvind,9.49,7.81,6.93,8.01,7.64,5.51,6.39,8.04,7.48,30,21,29,71,0,4,115559,119086,False,0,60,5,0.44,12,8,Medium
CMR2023385,Chad Scott,21,Male,CSE,4,A,CMRIT,Dr. Arvind,7.96,6.18,5.11,5.09,8.92,7.88,5.02,7.31,6.68,22,26,20,86,4,4,144845,143284,True,2,22,4,0.63,13,7,High
CMR2023386,Adam Burgess,20,Female,EEE,1,C,CMRIT,Dr. Arvind,7.47,5.24,6.49,9.92,7.47,8.21,9.55,9.22,6.36,29,21,20,54,2,1,63724,17539,True,1,33,6,0.9,11,7,High
CMR2023387,James Padilla,19,Female,MECH,1,C,CMRIT,Dr. Ramesh,6.3,8.92,5.55,9.74,5.38,6.65,8.06,9.06,7.61,24,22,22,80,7,1,125768,36431,True,2,38,8,0.92,14,7,Low
CMR2023388,Sandra Drake,22,Male,MECH,4,C,CMRIT,Prof. Meena,9.88,6.61,8.65,6.13,6.32,6.48,5.41,7.79,7.16,23,30,30,92,6,3,58973,25451,True,3,27,5,0.31,3,8,Medium
CMR2023389,Scott Williams,21,Male,ECE,2,C,CMRIT,Dr. Arvind,8.8,6.56,7.27,5.77,7.52,9.57,6.09,6.82,7.1,27,29,28,81,1,2,58220,109911,True,0,55,7,0.41,4,10,Medium
CMR2023390,Thomas Atkins,21,Male,CIVIL,1,A,CMRIT,Dr. Ramesh,9.47,5.94,5.14,8.31,7.26,6.33,9.63,5.42,7.71,26,23,22,46,0,6,109052,136646,False,0,85,6,0.34,4,6,High
CMR2023391,Laura Mckinney,23,Female,AIML,3,A,CMRIT,Prof. Meena,5.88,6.38,8.04,7.59,5.55,5.25,6.24,5.56,6.45,21,20,20,65,6,1,74777,67591,True,0,55,5,0.92,11,7,Medium
CMR2023392,Brian Smith,19,Female,EEE,2,A,CMRIT,Prof. Kavya,6.74,6.44,7.98,8.67,5.47,7.52,8.5,7.38,7.46,24,23,22,67,5,0,87604,23207,True,1,62,7,0.4,0,8,Medium
CMR2023393,Robert Montgomery,19,Female,CSE,2,C,CMRIT,Dr. Ramesh,7.97,9.85,7.92,7.44,6.24,5.55,9.09,7.84,8.29,24,23,28,71,5,8,136896,48857,True,0,32,6,0.86,5,8,High
CMR2023394,Tamara Davis,20,Female,ECE,3,B,CMRIT,Dr. Ramesh,9.14,6.51,6.67,7.59,8.32,9.33,9.22,7.42,7.93,24,30,28,41,3,6,10433,43771,False,0,48,9,1.0,5,8,High
CMR2023395,Dana Chapman,20,Male,CIVIL,1,A,CMRIT,Prof. Meena,8.19,9.83,9.39,8.39,9.5,7.25,9.79,7.63,9.01,24,30,25,84,5,1,91820,107505,False,0,55,6,0.43,9,9,Medium
CMR2023396,Jennifer Collins,21,Female,MECH,3,B,CMRIT,Dr. Ramesh,9.85,7.49,8.43,7.33,5.75,9.83,8.12,8.32,8.11,24,27,24,43,7,4,21938,82260,True,3,25,5,0.5,9,2,High
CMR2023397,Gary Jackson,18,Female,ECE,1,A,CMRIT,Dr. Arvind,5.69,9.39,8.93,7.51,9.79,7.8,9.77,8.57,7.54,22,23,26,67,6,1,26159,81232,True,0,80,6,0.47,10,7,High
